tweet,groups
playing with dimensions  clustering  pca  t sne  deep learning      w  code   datascience  machinelearning  bigdata,2
great  tutorials  w  python code  on clustering unlabeled data  sklearn cluster   datascience ,2
spark lda complete example of clustering algorithm for topic discovery   via   datascience  machinelearning,6
ckmeans w  code   using clustering to create a new d3 js color scale     datascience ,2
principal component analysis cluster plots with plotly  via   datascience  featureextraction  statistics,2
interesting  music genres re sorted into 3 clusters linked to personality  datascience  socialmedia  datamining ,2
spark an open source cluster computing framework for data analytics   ,2
useful article on how to choose number of clusters using unsupervised  machinelearning  datascience  datamining ,6
great read  using topological data analysis to understand the behavior of convolutional neural networks   datascience  deeplearning  machinelearning ,5
great  tutorial on how to train a convolutional neural network using keras and deep learning to recognize and classify images  w  py code   datascience  machinelearning  ai  deeplearning  ,5
great  a beginner s guide to understanding convolutional neural networks  part 2 w  papers    via   datascience  deeplearning  machinelearning  ai ,5
fundamentals of deep learning   starting with artificial neural network   datascience  machinelearning  deeplearning ,6
nice   capsule neural networks are here to finally recognize spatial relationships  part 1  cnns and their problems   datascience  machinelearning  deeplearning  ,5
step by step guide to implement a simple neural network using tensorflow  w  py code    datascience  deeplearning  machinelearning ,7
introduction to neural networks part 2   a worked example   datascience  machinelearning  deeplearning  neuralnetworks,5
here is the py code  neural network dynamics for model based deep reinforcement learning with model free fine tuning   datascience  deeplearning  ai ,5
interesting  model based reinforcement learning with neural network dynamics  w  py code    datascience  deeplearning  machinelearning  ai ,5
useful  neural network architectures  datascience  deeplearning  machinelearning  ai   ,5
great read  feature visualization  how neural networks build up their understanding of images   datascience  computationalintelligence  optimisation  neuralnetwork ,5
visualizing layer representations in neural networks  w  examples  amp  py code    datascience  datamining  deeplearning ,5
engineering uncertainty estimation in neural networks for time series prediction    datascience  deeplearning ,5
great  vectorflow   a lightweight neural network library for sparse data  datascience  deeplearning  machinelearning,5
nice tutorial on training a recurrent neural network on language modeling   deeplearning  datascience   tensorflow ,5
great  a matlab implementation of the tensorflow neural network playground     datascience  deeplearning  tensorflow ,5
understanding recurrent neural networks for time series data   datascience  neuralnetworks  timeseries ,5
google s deepmind ai to use 1 million nhs eye scans to spot diseases earlier   ai  healthcare,3
mike lynch  google deepmind s nhs partnership could have been done  more carefully      healthcare  bigdata,3
nhs will continue trialling google s kidney monitoring app despite regulators moving in   medicaldevice  healthcare,3
google s nhs deal does not have regulatory approval   ai  machinelearning  nhs  privacy  bigdata,3
revealed  google ai has access to huge haul of nhs patient data   ai  machinelearning  bigdata  healthcare,3
cancer detecting dogs approved for nhs trial ,3
interesting  google given access to uk nhs patient records for research   healthcare  predictivemodelling,3
patients at one of the uk s biggest children s hospitals are about to be comforted by ai    ai  healthcare,3
the hospital of the future  via    healthcare  iot  dataanalytics  bigdata  smarthospitals,0
big data analytics show more sepsis deaths in large hospitals    bigdata  healthcareanalytics  dataanalytics,0
great tutorial  comprehensive hands on guide to twitter sentiment analysis with dataset and code  w  py code ,1
 i really enjoy reading the articles on your twitter page  fantastic ,4
ai is coming on fast  here are the 10 people the ai elite follow on twitter   datascience  ai  bigdata,0
neural network trained on twitter and instagram data to  understand  emojis   bigdata  datascience  machinelearning,5
to the followers which i can t follow back  i will do it as soon as twitter lets me follow more people   twitter ,4
analysis of twitter influencers in the field of data science  amp  big data by    bigdata  dataanalytics  dataviz,0
spread a twitter message to millions with twitter api  r and sentiment analysis    datascience  r,5
great article  an analysis of twitter influencers in the field of data science  amp  big data  by    datascience,2
my month on twitter  530 new followers  68 mentions  144k mention reach  how s your audience growing  via ,4
my week on twitter  72 new followers  8 mentions  2 84k mention reach  how s your audience growing  via ,4
great advice for using twitter to enhance  researchimpact  ,5
twitter launches new artificial intelligence group  cortex  via ,4
